# regs_2057_rev8, estratta da wlDSL-3580_EU.o_save (wl 6.30.102.7).
#
# Il record del blob e' sei byte: u16 address, u16 init, u8 do_init, u8 pad.
# 413 record, 2478 byte, l'ultimo e' il terminatore 0xffff.
#
# `patches/b43/MESSAGES.md#0013` porta in b43 solo le 39 voci con do_init=1, che sono quelle
# che il driver proprietario scrive davvero all'init del radio. Le altre 373
# stanno qui perche' sono dati che abbiamo e che serviranno: 51 di esse le
# riprogramma il cambio canale dalla chantab, 322 non le scrive nessuno.
# Vedi docs/gap-inventory.md 4h.
#
# Si rigenera con:
#   ./reverse-tools/blob_tables.py --dump regs_2057_rev8 -- <blob>
#
#
# La riga che si puo' tracciare fra le 412, e che le partiziona senza sovrapporsi:
#
#   init      39   il flag del blob: le scrive all'init del radio. Sono quelle
#                  che patches/b43/MESSAGES.md#0013 porta in b43.
#   chan      51   le riprogramma il cambio canale o una cal, dalla chantab e non
#                  da qui: vcocal, RFPLL loopfilter, MMD, i LOGEN_*_TUNE. 31
#                  scritture ciascuna nella cattura, uno per cambio canale.
#   altrarev  42   hanno il flag in regs_2057_rev4/rev5/rev5v1/rev7 di brcmsmac
#                  ma non nel rev8: la tabella e' un superset condiviso fra
#                  revisioni e il flag seleziona.
#   ignota   280   nessuna revisione le segna e nessuno le scrive, mai, in 70796
#                  record. La distribuzione per banco e' da ricalcolare, vedi
#                  docs/gap-inventory.md 4h.
#
# I 21 registri che il rev8 di brcmsmac segna e il blob no cadono tutti e 21 in
# `altrarev`: brcmsmac scriverebbe all'init l'init di un altro radio. E' il set
# dello stub che impianta il BCM6362 con "Microcode not responding".
#
# addr   init  classe    do_init
0x0000  0x08  altrarev  0
0x0001  0x57  altrarev  0
0x0002  0x20  altrarev  0
0x0003  0x1f  ignota    0
0x0004  0x04  ignota    0
0x0005  0x02  ignota    0
0x0006  0x01  ignota    0
0x0007  0x01  ignota    0
0x0008  0x01  ignota    0
0x0009  0x69  ignota    0
0x000a  0x66  ignota    0
0x000b  0x06  ignota    0
0x000c  0x18  ignota    0
0x000d  0x03  ignota    0
0x000e  0x20  altrarev  0
0x000f  0x20  ignota    0
0x0010  0x00  ignota    0
0x0011  0x7c  chan      0
0x0012  0x42  ignota    0
0x0013  0xbd  ignota    0
0x0014  0x07  ignota    0
0x0015  0x87  ignota    0
0x0016  0x08  chan      0
0x0017  0x17  chan      0
0x0018  0x07  ignota    0
0x0019  0x00  ignota    0
0x001a  0x02  ignota    0
0x001b  0x13  ignota    0
0x001c  0x3e  ignota    0
0x001d  0x3e  ignota    0
0x001e  0x96  ignota    0
0x001f  0x04  ignota    0
0x0020  0x00  ignota    0
0x0021  0x00  ignota    0
0x0022  0x17  chan      0
0x0023  0x06  altrarev  0
0x0024  0x01  ignota    0
0x0025  0x06  chan      0
0x0026  0x04  ignota    0
0x0027  0x0d  chan      0
0x0028  0x0d  chan      0
0x0029  0x30  chan      0
0x002a  0x32  ignota    0
0x002b  0x08  chan      0
0x002c  0x1c  chan      0
0x002d  0x02  chan      0
0x002e  0x04  chan      0
0x002f  0x7f  ignota    0
0x0030  0x27  ignota    0
0x0031  0x00  altrarev  0
0x0032  0x00  altrarev  0
0x0033  0x00  altrarev  0
0x0034  0x00  ignota    0
0x0035  0x20  altrarev  0
0x0036  0x18  ignota    0
