  srom[000]:  0x2801  0x0000  0x0566  0x14e4  0x0078  0xedbe  0x0000  0x2bc4
  srom[008]:  0x2a64  0x2964  0x2c64  0x3ce7  0x46ff  0x47ff  0x0c00  0x0820
  srom[016]:  0x0030  0x1002  0x1f2f  0x7d75  0x8080  0x0032  0x0100  0x8400
  srom[024]:  0xd700  0x01c7  0x0083  0x8500  0x2010  0xffff  0x0000  0xffff
  srom[032]:  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff
  srom[040]:  0xffff  0xffff  0x1010  0x0005  0xffff  0xffff  0xffff  0xffff
  srom[048]:  0x4354  0x8000  0x0002  0x0000  0x1f30  0x1800  0x0000  0x0000
  srom[056]:  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff
  srom[064]:  0x5372  0x1230  0x0200  0x0000  0x0000  0x0000  0x0000  0x0000
  srom[072]:  0x0000  0x0000  0x0000  0xffff  0xffff  0xffff  0x0303  0x0202
  srom[080]:  0xff02  0x0033  0xffff  0xffff  0xffff  0xffff  0xffff  0x0315
  srom[088]:  0x0315  0x7800  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff
  srom[096]:  0x204a  0xff71  0x1740  0xfb17  0x3e30  0x403c  0xfe35  0x10cf
  srom[104]:  0xfb89  0xfeac  0x12dd  0xfb7f  0xfe4a  0x10fe  0xfb95  0x0000
  srom[112]:  0x204a  0xff81  0x1784  0xfb1b  0x3e30  0x403c  0xfedc  0x1246
  srom[120]:  0xfbc4  0xff44  0x135b  0xfbfd  0xfebb  0x127b  0xfba3  0x0000
  srom[128]:  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff
  srom[136]:  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff
  srom[144]:  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff
  srom[152]:  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff
  srom[160]:  0x0000  0x4444  0x4444  0x0000  0x0000  0x0000  0x0000  0x0000
  srom[168]:  0x0000  0x6666  0x6666  0x6666  0x6666  0x6666  0x6666  0x6666
  srom[176]:  0x6666  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000
  srom[184]:  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000
  srom[192]:  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000
  srom[200]:  0x0000  0x0000  0x0000  0x0000  0x0000  0xffff  0xffff  0xffff
  srom[208]:  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff
  srom[216]:  0xffff  0xffff  0xffff  0xb908
